week_key,week_start,week_end,complaint_category,case_count
2023-W20,2023-05-15,2023-05-21,Allergy,2
2023-W20,2023-05-15,2023-05-21,Blood Pressure,1
2023-W20,2023-05-15,2023-05-21,Body Pain,2
2023-W20,2023-05-15,2023-05-21,Dental,0
2023-W20,2023-05-15,2023-05-21,Dizziness,2
2023-W20,2023-05-15,2023-05-21,Dysmenorrhea,1
2023-W20,2023-05-15,2023-05-21,Fever,0
2023-W20,2023-05-15,2023-05-21,Gastrointestinal,0
2023-W20,2023-05-15,2023-05-21,Headache,3
2023-W20,2023-05-15,2023-05-21,Respiratory,0
2023-W20,2023-05-15,2023-05-21,Wound/Injury,2
2023-W21,2023-05-22,2023-05-28,Allergy,0
2023-W21,2023-05-22,2023-05-28,Blood Pressure,0
2023-W21,2023-05-22,2023-05-28,Body Pain,3
2023-W21,2023-05-22,2023-05-28,Dental,1
2023-W21,2023-05-22,2023-05-28,Dizziness,1
2023-W21,2023-05-22,2023-05-28,Dysmenorrhea,1
2023-W21,2023-05-22,2023-05-28,Fever,1
2023-W21,2023-05-22,2023-05-28,Gastrointestinal,1
2023-W21,2023-05-22,2023-05-28,Headache,2
2023-W21,2023-05-22,2023-05-28,Respiratory,2
2023-W21,2023-05-22,2023-05-28,Wound/Injury,0
2023-W22,2023-05-29,2023-06-04,Allergy,1
2023-W22,2023-05-29,2023-06-04,Blood Pressure,0
2023-W22,2023-05-29,2023-06-04,Body Pain,1
2023-W22,2023-05-29,2023-06-04,Dental,0
2023-W22,2023-05-29,2023-06-04,Dizziness,0
2023-W22,2023-05-29,2023-06-04,Dysmenorrhea,0
2023-W22,2023-05-29,2023-06-04,Fever,1
2023-W22,2023-05-29,2023-06-04,Gastrointestinal,2
2023-W22,2023-05-29,2023-06-04,Headache,0
2023-W22,2023-05-29,2023-06-04,Respiratory,0
2023-W22,2023-05-29,2023-06-04,Wound/Injury,0
2023-W23,2023-06-05,2023-06-11,Allergy,3
2023-W23,2023-06-05,2023-06-11,Blood Pressure,0
2023-W23,2023-06-05,2023-06-11,Body Pain,0
2023-W23,2023-06-05,2023-06-11,Dental,1
2023-W23,2023-06-05,2023-06-11,Dizziness,1
2023-W23,2023-06-05,2023-06-11,Dysmenorrhea,0
2023-W23,2023-06-05,2023-06-11,Fever,0
2023-W23,2023-06-05,2023-06-11,Gastrointestinal,1
2023-W23,2023-06-05,2023-06-11,Headache,0
2023-W23,2023-06-05,2023-06-11,Respiratory,3
2023-W23,2023-06-05,2023-06-11,Wound/Injury,0
2023-W24,2023-06-12,2023-06-18,Allergy,0
2023-W24,2023-06-12,2023-06-18,Blood Pressure,1
2023-W24,2023-06-12,2023-06-18,Body Pain,3
2023-W24,2023-06-12,2023-06-18,Dental,1
2023-W24,2023-06-12,2023-06-18,Dizziness,0
2023-W24,2023-06-12,2023-06-18,Dysmenorrhea,0
2023-W24,2023-06-12,2023-06-18,Fever,1
2023-W24,2023-06-12,2023-06-18,Gastrointestinal,0
2023-W24,2023-06-12,2023-06-18,Headache,0
2023-W24,2023-06-12,2023-06-18,Respiratory,5
2023-W24,2023-06-12,2023-06-18,Wound/Injury,0
2023-W25,2023-06-19,2023-06-25,Allergy,0
2023-W25,2023-06-19,2023-06-25,Blood Pressure,2
2023-W25,2023-06-19,2023-06-25,Body Pain,0
2023-W25,2023-06-19,2023-06-25,Dental,0
2023-W25,2023-06-19,2023-06-25,Dizziness,0
2023-W25,2023-06-19,2023-06-25,Dysmenorrhea,0
2023-W25,2023-06-19,2023-06-25,Fever,2
2023-W25,2023-06-19,2023-06-25,Gastrointestinal,0
2023-W25,2023-06-19,2023-06-25,Headache,0
2023-W25,2023-06-19,2023-06-25,Respiratory,4
2023-W25,2023-06-19,2023-06-25,Wound/Injury,0
2023-W26,2023-06-26,2023-07-02,Allergy,2
2023-W26,2023-06-26,2023-07-02,Blood Pressure,0
2023-W26,2023-06-26,2023-07-02,Body Pain,0
2023-W26,2023-06-26,2023-07-02,Dental,0
2023-W26,2023-06-26,2023-07-02,Dizziness,0
2023-W26,2023-06-26,2023-07-02,Dysmenorrhea,0
2023-W26,2023-06-26,2023-07-02,Fever,1
2023-W26,2023-06-26,2023-07-02,Gastrointestinal,1
2023-W26,2023-06-26,2023-07-02,Headache,0
2023-W26,2023-06-26,2023-07-02,Respiratory,4
2023-W26,2023-06-26,2023-07-02,Wound/Injury,1
2023-W27,2023-07-03,2023-07-09,Allergy,5
2023-W27,2023-07-03,2023-07-09,Blood Pressure,2
2023-W27,2023-07-03,2023-07-09,Body Pain,15
2023-W27,2023-07-03,2023-07-09,Dental,1
2023-W27,2023-07-03,2023-07-09,Dizziness,4
2023-W27,2023-07-03,2023-07-09,Dysmenorrhea,1
2023-W27,2023-07-03,2023-07-09,Fever,3
2023-W27,2023-07-03,2023-07-09,Gastrointestinal,1
2023-W27,2023-07-03,2023-07-09,Headache,28
2023-W27,2023-07-03,2023-07-09,Respiratory,13
2023-W27,2023-07-03,2023-07-09,Wound/Injury,7
2023-W28,2023-07-10,2023-07-16,Allergy,2
2023-W28,2023-07-10,2023-07-16,Blood Pressure,0
2023-W28,2023-07-10,2023-07-16,Body Pain,7
2023-W28,2023-07-10,2023-07-16,Dental,5
2023-W28,2023-07-10,2023-07-16,Dizziness,0
2023-W28,2023-07-10,2023-07-16,Dysmenorrhea,1
2023-W28,2023-07-10,2023-07-16,Fever,8
2023-W28,2023-07-10,2023-07-16,Gastrointestinal,7
2023-W28,2023-07-10,2023-07-16,Headache,14
2023-W28,2023-07-10,2023-07-16,Respiratory,16
2023-W28,2023-07-10,2023-07-16,Wound/Injury,1
2023-W29,2023-07-17,2023-07-23,Allergy,1
2023-W29,2023-07-17,2023-07-23,Blood Pressure,0
2023-W29,2023-07-17,2023-07-23,Body Pain,0
2023-W29,2023-07-17,2023-07-23,Dental,4
2023-W29,2023-07-17,2023-07-23,Dizziness,0
2023-W29,2023-07-17,2023-07-23,Dysmenorrhea,1
2023-W29,2023-07-17,2023-07-23,Fever,2
2023-W29,2023-07-17,2023-07-23,Gastrointestinal,4
2023-W29,2023-07-17,2023-07-23,Headache,11
2023-W29,2023-07-17,2023-07-23,Respiratory,3
2023-W29,2023-07-17,2023-07-23,Wound/Injury,1
2023-W30,2023-07-24,2023-07-30,Allergy,4
2023-W30,2023-07-24,2023-07-30,Blood Pressure,2
2023-W30,2023-07-24,2023-07-30,Body Pain,3
2023-W30,2023-07-24,2023-07-30,Dental,3
2023-W30,2023-07-24,2023-07-30,Dizziness,0
2023-W30,2023-07-24,2023-07-30,Dysmenorrhea,0
2023-W30,2023-07-24,2023-07-30,Fever,2
2023-W30,2023-07-24,2023-07-30,Gastrointestinal,4
2023-W30,2023-07-24,2023-07-30,Headache,22
2023-W30,2023-07-24,2023-07-30,Respiratory,11
2023-W30,2023-07-24,2023-07-30,Wound/Injury,2
2023-W31,2023-07-31,2023-08-06,Allergy,0
2023-W31,2023-07-31,2023-08-06,Blood Pressure,0
2023-W31,2023-07-31,2023-08-06,Body Pain,0
2023-W31,2023-07-31,2023-08-06,Dental,0
2023-W31,2023-07-31,2023-08-06,Dizziness,0
2023-W31,2023-07-31,2023-08-06,Dysmenorrhea,0
2023-W31,2023-07-31,2023-08-06,Fever,0
2023-W31,2023-07-31,2023-08-06,Gastrointestinal,0
2023-W31,2023-07-31,2023-08-06,Headache,0
2023-W31,2023-07-31,2023-08-06,Respiratory,0
2023-W31,2023-07-31,2023-08-06,Wound/Injury,0
2023-W32,2023-08-07,2023-08-13,Allergy,0
2023-W32,2023-08-07,2023-08-13,Blood Pressure,0
2023-W32,2023-08-07,2023-08-13,Body Pain,0
2023-W32,2023-08-07,2023-08-13,Dental,0
2023-W32,2023-08-07,2023-08-13,Dizziness,0
2023-W32,2023-08-07,2023-08-13,Dysmenorrhea,0
2023-W32,2023-08-07,2023-08-13,Fever,0
2023-W32,2023-08-07,2023-08-13,Gastrointestinal,0
2023-W32,2023-08-07,2023-08-13,Headache,0
2023-W32,2023-08-07,2023-08-13,Respiratory,0
2023-W32,2023-08-07,2023-08-13,Wound/Injury,0
2023-W33,2023-08-14,2023-08-20,Allergy,0
2023-W33,2023-08-14,2023-08-20,Blood Pressure,0
2023-W33,2023-08-14,2023-08-20,Body Pain,0
2023-W33,2023-08-14,2023-08-20,Dental,0
2023-W33,2023-08-14,2023-08-20,Dizziness,0
2023-W33,2023-08-14,2023-08-20,Dysmenorrhea,0
2023-W33,2023-08-14,2023-08-20,Fever,0
2023-W33,2023-08-14,2023-08-20,Gastrointestinal,0
2023-W33,2023-08-14,2023-08-20,Headache,0
2023-W33,2023-08-14,2023-08-20,Respiratory,0
2023-W33,2023-08-14,2023-08-20,Wound/Injury,0
2023-W34,2023-08-21,2023-08-27,Allergy,0
2023-W34,2023-08-21,2023-08-27,Blood Pressure,0
2023-W34,2023-08-21,2023-08-27,Body Pain,0
2023-W34,2023-08-21,2023-08-27,Dental,0
2023-W34,2023-08-21,2023-08-27,Dizziness,0
2023-W34,2023-08-21,2023-08-27,Dysmenorrhea,0
2023-W34,2023-08-21,2023-08-27,Fever,0
2023-W34,2023-08-21,2023-08-27,Gastrointestinal,0
2023-W34,2023-08-21,2023-08-27,Headache,0
2023-W34,2023-08-21,2023-08-27,Respiratory,0
2023-W34,2023-08-21,2023-08-27,Wound/Injury,0
2023-W35,2023-08-28,2023-09-03,Allergy,1
2023-W35,2023-08-28,2023-09-03,Blood Pressure,0
2023-W35,2023-08-28,2023-09-03,Body Pain,0
2023-W35,2023-08-28,2023-09-03,Dental,1
2023-W35,2023-08-28,2023-09-03,Dizziness,0
2023-W35,2023-08-28,2023-09-03,Dysmenorrhea,0
2023-W35,2023-08-28,2023-09-03,Fever,1
2023-W35,2023-08-28,2023-09-03,Gastrointestinal,0
2023-W35,2023-08-28,2023-09-03,Headache,1
2023-W35,2023-08-28,2023-09-03,Respiratory,5
2023-W35,2023-08-28,2023-09-03,Wound/Injury,2
2023-W36,2023-09-04,2023-09-10,Allergy,0
2023-W36,2023-09-04,2023-09-10,Blood Pressure,0
2023-W36,2023-09-04,2023-09-10,Body Pain,0
2023-W36,2023-09-04,2023-09-10,Dental,0
2023-W36,2023-09-04,2023-09-10,Dizziness,0
2023-W36,2023-09-04,2023-09-10,Dysmenorrhea,0
2023-W36,2023-09-04,2023-09-10,Fever,0
2023-W36,2023-09-04,2023-09-10,Gastrointestinal,0
2023-W36,2023-09-04,2023-09-10,Headache,0
2023-W36,2023-09-04,2023-09-10,Respiratory,0
2023-W36,2023-09-04,2023-09-10,Wound/Injury,0
2023-W37,2023-09-11,2023-09-17,Allergy,0
2023-W37,2023-09-11,2023-09-17,Blood Pressure,0
2023-W37,2023-09-11,2023-09-17,Body Pain,0
2023-W37,2023-09-11,2023-09-17,Dental,0
2023-W37,2023-09-11,2023-09-17,Dizziness,0
2023-W37,2023-09-11,2023-09-17,Dysmenorrhea,0
2023-W37,2023-09-11,2023-09-17,Fever,0
2023-W37,2023-09-11,2023-09-17,Gastrointestinal,0
2023-W37,2023-09-11,2023-09-17,Headache,0
2023-W37,2023-09-11,2023-09-17,Respiratory,0
2023-W37,2023-09-11,2023-09-17,Wound/Injury,0
2023-W38,2023-09-18,2023-09-24,Allergy,0
2023-W38,2023-09-18,2023-09-24,Blood Pressure,0
2023-W38,2023-09-18,2023-09-24,Body Pain,0
2023-W38,2023-09-18,2023-09-24,Dental,1
2023-W38,2023-09-18,2023-09-24,Dizziness,0
2023-W38,2023-09-18,2023-09-24,Dysmenorrhea,0
2023-W38,2023-09-18,2023-09-24,Fever,0
2023-W38,2023-09-18,2023-09-24,Gastrointestinal,0
2023-W38,2023-09-18,2023-09-24,Headache,0
2023-W38,2023-09-18,2023-09-24,Respiratory,0
2023-W38,2023-09-18,2023-09-24,Wound/Injury,0
2023-W39,2023-09-25,2023-10-01,Allergy,0
2023-W39,2023-09-25,2023-10-01,Blood Pressure,0
2023-W39,2023-09-25,2023-10-01,Body Pain,0
2023-W39,2023-09-25,2023-10-01,Dental,0
2023-W39,2023-09-25,2023-10-01,Dizziness,0
2023-W39,2023-09-25,2023-10-01,Dysmenorrhea,0
2023-W39,2023-09-25,2023-10-01,Fever,3
2023-W39,2023-09-25,2023-10-01,Gastrointestinal,2
2023-W39,2023-09-25,2023-10-01,Headache,0
2023-W39,2023-09-25,2023-10-01,Respiratory,7
2023-W39,2023-09-25,2023-10-01,Wound/Injury,1
2023-W40,2023-10-02,2023-10-08,Allergy,0
2023-W40,2023-10-02,2023-10-08,Blood Pressure,0
2023-W40,2023-10-02,2023-10-08,Body Pain,0
2023-W40,2023-10-02,2023-10-08,Dental,0
2023-W40,2023-10-02,2023-10-08,Dizziness,0
2023-W40,2023-10-02,2023-10-08,Dysmenorrhea,0
2023-W40,2023-10-02,2023-10-08,Fever,0
2023-W40,2023-10-02,2023-10-08,Gastrointestinal,0
2023-W40,2023-10-02,2023-10-08,Headache,0
2023-W40,2023-10-02,2023-10-08,Respiratory,1
2023-W40,2023-10-02,2023-10-08,Wound/Injury,0
2023-W41,2023-10-09,2023-10-15,Allergy,0
2023-W41,2023-10-09,2023-10-15,Blood Pressure,0
2023-W41,2023-10-09,2023-10-15,Body Pain,0
2023-W41,2023-10-09,2023-10-15,Dental,0
2023-W41,2023-10-09,2023-10-15,Dizziness,0
2023-W41,2023-10-09,2023-10-15,Dysmenorrhea,0
2023-W41,2023-10-09,2023-10-15,Fever,0
2023-W41,2023-10-09,2023-10-15,Gastrointestinal,0
2023-W41,2023-10-09,2023-10-15,Headache,0
2023-W41,2023-10-09,2023-10-15,Respiratory,0
2023-W41,2023-10-09,2023-10-15,Wound/Injury,0
2023-W42,2023-10-16,2023-10-22,Allergy,0
2023-W42,2023-10-16,2023-10-22,Blood Pressure,0
2023-W42,2023-10-16,2023-10-22,Body Pain,0
2023-W42,2023-10-16,2023-10-22,Dental,0
2023-W42,2023-10-16,2023-10-22,Dizziness,0
2023-W42,2023-10-16,2023-10-22,Dysmenorrhea,0
2023-W42,2023-10-16,2023-10-22,Fever,0
2023-W42,2023-10-16,2023-10-22,Gastrointestinal,0
2023-W42,2023-10-16,2023-10-22,Headache,0
2023-W42,2023-10-16,2023-10-22,Respiratory,0
2023-W42,2023-10-16,2023-10-22,Wound/Injury,0
2023-W43,2023-10-23,2023-10-29,Allergy,0
2023-W43,2023-10-23,2023-10-29,Blood Pressure,0
2023-W43,2023-10-23,2023-10-29,Body Pain,0
2023-W43,2023-10-23,2023-10-29,Dental,0
2023-W43,2023-10-23,2023-10-29,Dizziness,0
2023-W43,2023-10-23,2023-10-29,Dysmenorrhea,0
2023-W43,2023-10-23,2023-10-29,Fever,0
2023-W43,2023-10-23,2023-10-29,Gastrointestinal,0
2023-W43,2023-10-23,2023-10-29,Headache,0
2023-W43,2023-10-23,2023-10-29,Respiratory,0
2023-W43,2023-10-23,2023-10-29,Wound/Injury,0
2023-W44,2023-10-30,2023-11-05,Allergy,0
2023-W44,2023-10-30,2023-11-05,Blood Pressure,0
2023-W44,2023-10-30,2023-11-05,Body Pain,0
2023-W44,2023-10-30,2023-11-05,Dental,0
2023-W44,2023-10-30,2023-11-05,Dizziness,0
2023-W44,2023-10-30,2023-11-05,Dysmenorrhea,0
2023-W44,2023-10-30,2023-11-05,Fever,0
2023-W44,2023-10-30,2023-11-05,Gastrointestinal,0
2023-W44,2023-10-30,2023-11-05,Headache,0
2023-W44,2023-10-30,2023-11-05,Respiratory,0
2023-W44,2023-10-30,2023-11-05,Wound/Injury,0
2023-W45,2023-11-06,2023-11-12,Allergy,1
2023-W45,2023-11-06,2023-11-12,Blood Pressure,0
2023-W45,2023-11-06,2023-11-12,Body Pain,1
2023-W45,2023-11-06,2023-11-12,Dental,0
2023-W45,2023-11-06,2023-11-12,Dizziness,0
2023-W45,2023-11-06,2023-11-12,Dysmenorrhea,0
2023-W45,2023-11-06,2023-11-12,Fever,5
2023-W45,2023-11-06,2023-11-12,Gastrointestinal,2
2023-W45,2023-11-06,2023-11-12,Headache,0
2023-W45,2023-11-06,2023-11-12,Respiratory,4
2023-W45,2023-11-06,2023-11-12,Wound/Injury,1
2023-W46,2023-11-13,2023-11-19,Allergy,0
2023-W46,2023-11-13,2023-11-19,Blood Pressure,1
2023-W46,2023-11-13,2023-11-19,Body Pain,0
2023-W46,2023-11-13,2023-11-19,Dental,0
2023-W46,2023-11-13,2023-11-19,Dizziness,1
2023-W46,2023-11-13,2023-11-19,Dysmenorrhea,0
2023-W46,2023-11-13,2023-11-19,Fever,3
2023-W46,2023-11-13,2023-11-19,Gastrointestinal,1
