week_key,week_start,week_end,total_visits,health_visits,non_health_visits,medical_certificate_visits,enrollment_requirement_visits,supply_medicine_visits,consultation_assessment_visits,unknown_other_visits,unique_departments
2024-W08,2024-02-19,2024-02-25,0,0,0,0,0,0,0,0,0
2024-W09,2024-02-26,2024-03-03,2,2,0,0,0,0,0,0,1
2024-W10,2024-03-04,2024-03-10,22,16,6,0,4,0,0,2,10
2024-W11,2024-03-11,2024-03-17,24,19,5,0,3,0,1,1,10
2024-W12,2024-03-18,2024-03-24,18,16,2,1,0,0,0,1,8
2024-W13,2024-03-25,2024-03-31,15,11,4,2,1,0,0,1,9
2024-W14,2024-04-01,2024-04-07,17,12,5,1,2,0,0,2,10
2024-W15,2024-04-08,2024-04-14,10,7,3,1,1,0,0,1,6
2024-W16,2024-04-15,2024-04-21,18,14,4,1,0,0,1,2,9
2024-W17,2024-04-22,2024-04-28,21,18,3,1,1,0,1,0,11
2024-W18,2024-04-29,2024-05-05,15,11,4,0,3,0,0,1,8
2024-W19,2024-05-06,2024-05-12,15,13,2,0,2,0,0,0,6
2024-W20,2024-05-13,2024-05-19,17,13,4,0,3,0,0,1,9
2024-W21,2024-05-20,2024-05-26,0,0,0,0,0,0,0,0,0
2024-W22,2024-05-27,2024-06-02,0,0,0,0,0,0,0,0,0
2024-W23,2024-06-03,2024-06-09,68,26,42,0,0,0,0,42,9
2024-W24,2024-06-10,2024-06-16,112,17,95,0,0,0,39,56,11
2024-W25,2024-06-17,2024-06-23,46,0,46,0,0,0,0,46,2
2024-W26,2024-06-24,2024-06-30,134,96,38,0,3,0,6,29,15
2024-W27,2024-07-01,2024-07-07,0,0,0,0,0,0,0,0,0
2024-W28,2024-07-08,2024-07-14,3,3,0,0,0,0,0,0,1
2024-W29,2024-07-15,2024-07-21,9,8,1,0,0,0,0,1,3
2024-W30,2024-07-22,2024-07-28,0,0,0,0,0,0,0,0,0
2024-W31,2024-07-29,2024-08-04,0,0,0,0,0,0,0,0,0
2024-W32,2024-08-05,2024-08-11,5,4,1,0,0,0,0,1,3
2024-W33,2024-08-12,2024-08-18,26,23,3,0,0,0,1,2,7
2024-W34,2024-08-19,2024-08-25,7,6,1,0,0,0,1,0,4
2024-W35,2024-08-26,2024-09-01,6,5,1,0,0,0,0,1,2
2024-W36,2024-09-02,2024-09-08,51,46,5,0,0,0,4,1,4
2024-W37,2024-09-09,2024-09-15,56,49,7,0,0,0,3,4,11
2024-W38,2024-09-16,2024-09-22,97,87,10,0,0,0,4,6,9
2024-W39,2024-09-23,2024-09-29,101,68,33,0,4,0,23,6,15
2024-W40,2024-09-30,2024-10-06,11,6,5,0,1,0,0,4,8
2024-W41,2024-10-07,2024-10-13,20,16,4,0,2,0,1,1,10
2024-W42,2024-10-14,2024-10-20,18,14,4,0,2,0,1,1,11
2024-W43,2024-10-21,2024-10-27,17,11,6,1,1,0,0,4,10
2024-W44,2024-10-28,2024-11-03,18,14,4,1,2,0,1,0,9
2024-W45,2024-11-04,2024-11-10,30,15,15,2,0,1,1,11,11
2024-W46,2024-11-11,2024-11-17,51,36,15,0,0,0,1,14,14
2024-W47,2024-11-18,2024-11-24,58,39,19,0,0,0,15,4,8
2024-W48,2024-11-25,2024-12-01,47,34,13,0,0,0,0,13,8
2024-W49,2024-12-02,2024-12-08,31,26,5,0,0,0,2,3,10
2024-W50,2024-12-09,2024-12-15,45,39,6,0,0,0,2,4,8
2024-W51,2024-12-16,2024-12-22,14,12,2,0,0,0,1,1,3
2024-W52,2024-12-23,2024-12-29,1,1,0,0,0,0,0,0,1
2025-W01,2024-12-30,2025-01-05,0,0,0,0,0,0,0,0,0
2025-W02,2025-01-06,2025-01-12,16,13,3,0,2,0,1,0,0
2025-W03,2025-01-13,2025-01-19,23,20,3,2,0,0,1,0,0
2025-W04,2025-01-20,2025-01-26,21,19,2,0,1,0,1,0,0
2025-W05,2025-01-27,2025-02-02,19,16,3,1,2,0,0,0,0
2025-W06,2025-02-03,2025-02-09,17,12,5,1,1,0,3,0,0
2025-W07,2025-02-10,2025-02-16,22,19,3,1,1,0,1,0,0
2025-W08,2025-02-17,2025-02-23,22,16,6,2,3,0,1,0,0
2025-W09,2025-02-24,2025-03-02,19,10,9,3,3,0,3,0,0
2025-W10,2025-03-03,2025-03-09,21,14,7,2,2,0,3,0,0
2025-W11,2025-03-10,2025-03-16,21,20,1,0,1,0,0,0,0
2025-W12,2025-03-17,2025-03-23,21,19,2,0,0,0,2,0,0
2025-W13,2025-03-24,2025-03-30,21,18,3,2,0,0,1,0,0
2025-W14,2025-03-31,2025-04-06,27,24,3,1,1,1,0,0,0
2025-W15,2025-04-07,2025-04-13,54,26,28,14,0,10,0,4,0
2025-W16,2025-04-14,2025-04-20,79,18,61,55,5,1,0,0,0
2025-W17,2025-04-21,2025-04-27,42,27,15,10,4,0,1,0,0
2025-W18,2025-04-28,2025-05-04,49,27,22,18,0,3,1,0,0
2025-W19,2025-05-05,2025-05-11,110,53,57,26,0,9,2,20,0
2025-W20,2025-05-12,2025-05-18,85,48,37,19,1,12,1,4,0
2025-W21,2025-05-19,2025-05-25,119,80,39,18,0,16,0,5,0
2025-W22,2025-05-26,2025-06-01,124,39,85,7,0,41,1,36,0
2025-W23,2025-06-02,2025-06-08,85,6,79,74,1,3,0,1,0
2025-W24,2025-06-09,2025-06-15,41,28,13,0,2,2,7,2,0
2025-W25,2025-06-16,2025-06-22,130,53,77,24,0,14,36,3,0
2025-W26,2025-06-23,2025-06-29,89,56,33,15,0,7,10,1,0
2025-W27,2025-06-30,2025-07-06,34,13,21,5,14,1,0,1,0
2025-W28,2025-07-07,2025-07-13,34,13,21,4,13,1,3,0,0
2025-W29,2025-07-14,2025-07-20,13,5,8,3,2,0,2,1,0
2025-W30,2025-07-21,2025-07-27,0,0,0,0,0,0,0,0,0
2025-W31,2025-07-28,2025-08-03,2,2,0,0,0,0,0,0,0
2025-W32,2025-08-04,2025-08-10,22,16,6,2,1,0,3,0,0
2025-W33,2025-08-11,2025-08-17,23,18,5,2,1,0,2,0,0
2025-W34,2025-08-18,2025-08-24,15,12,3,1,2,0,0,0,0
2025-W35,2025-08-25,2025-08-31,14,9,5,2,2,0,1,0,0
2025-W36,2025-09-01,2025-09-07,18,11,7,1,4,0,2,0,0
2025-W37,2025-09-08,2025-09-14,18,9,9,3,2,0,4,0,0
2025-W38,2025-09-15,2025-09-21,17,13,4,1,2,0,1,0,0
2025-W39,2025-09-22,2025-09-28,19,16,3,1,2,0,0,0,0
2025-W40,2025-09-29,2025-10-05,15,14,1,0,0,0,1,0,0
2025-W41,2025-10-06,2025-10-12,21,18,3,2,1,0,0,0,0
2025-W42,2025-10-13,2025-10-19,21,16,5,0,2,0,3,0,0
2025-W43,2025-10-20,2025-10-26,16,12,4,3,0,0,1,0,0
2025-W44,2025-10-27,2025-11-02,20,16,4,2,1,0,1,0,0
2025-W45,2025-11-03,2025-11-09,23,21,2,0,2,0,0,0,0
2025-W46,2025-11-10,2025-11-16,21,16,5,2,1,0,2,0,0
2025-W47,2025-11-17,2025-11-23,21,14,7,2,1,0,4,0,0
2025-W48,2025-11-24,2025-11-30,19,15,4,3,1,0,0,0,0
2025-W49,2025-12-01,2025-12-07,14,10,4,2,1,0,1,0,0
2025-W50,2025-12-08,2025-12-14,16,11,5,1,4,0,0,0,0
2025-W51,2025-12-15,2025-12-21,0,0,0,0,0,0,0,0,0
2025-W52,2025-12-22,2025-12-28,0,0,0,0,0,0,0,0,0
2026-W01,2025-12-29,2026-01-04,19,5,14,13,0,0,1,0,3
2026-W02,2026-01-05,2026-01-11,102,84,18,4,0,7,7,0,5
2026-W03,2026-01-12,2026-01-18,162,102,60,35,8,5,10,2,4
2026-W04,2026-01-19,2026-01-25,160,61,99,70,0,2,8,19,5
2026-W05,2026-01-26,2026-02-01,283,99,184,98,0,4,78,4,6
2026-W06,2026-02-02,2026-02-08,317,171,146,59,0,25,18,44,6
2026-W07,2026-02-09,2026-02-15,303,134,169,25,0,4,13,127,6
2026-W08,2026-02-16,2026-02-22,198,169,29,0,0,7,22,0,5
2026-W09,2026-02-23,2026-03-01,192,137,55,29,0,15,7,4,6
2026-W10,2026-03-02,2026-03-08,185,146,39,21,0,2,15,1,6
2026-W11,2026-03-09,2026-03-15,267,162,105,61,0,21,14,9,5
2026-W12,2026-03-16,2026-03-22,151,100,51,10,0,15,12,14,5
2026-W13,2026-03-23,2026-03-29,149,122,27,13,0,8,6,0,6
2026-W14,2026-03-30,2026-04-05,133,68,65,28,0,8,11,18,5
2026-W15,2026-04-06,2026-04-12,88,69,19,2,0,5,7,5,5
2026-W16,2026-04-13,2026-04-19,131,95,36,10,0,6,8,12,5
2026-W17,2026-04-20,2026-04-26,255,119,136,105,0,9,21,1,4
2026-W18,2026-04-27,2026-05-03,178,80,98,87,0,5,5,1,6
2026-W19,2026-05-04,2026-05-10,75,61,14,0,0,2,10,2,6
2026-W20,2026-05-11,2026-05-17,66,57,9,0,0,1,6,2,6
2026-W21,2026-05-18,2026-05-24,80,61,19,1,0,7,8,3,4
2026-W22,2026-05-25,2026-05-31,79,66,13,0,0,2,7,4,1
2026-W23,2026-06-01,2026-06-07,217,98,119,99,0,9,8,3,0
2026-W24,2026-06-08,2026-06-14,87,69,18,8,0,5,5,0,0
2026-W25,2026-06-15,2026-06-21,247,89,158,132,0,15,7,4,0
2026-W26,2026-06-22,2026-06-28,64,29,35,26,0,5,3,1,1
2026-W27,2026-06-29,2026-07-05,64,41,23,12,0,9,2,0,0
2026-W28,2026-07-06,2026-07-12,18,5,13,10,0,0,3,0,0
