complaint_raw,complaint_category,count
Clean medicine,Supply/Medicine Issuance,1
Cleaning,Other,1
cleaning & cotton,Other,1
cold flu,Respiratory,1
colds,Respiratory,1
Colds,Respiratory,1
Colds forte,Respiratory,1
Constipation,Other,1
Constipation / Cough,Respiratory,1
Contraceptive (Implant / Depo),Other,1
Cough,Respiratory,1
Cough / Res. Infection,Respiratory,1
Cough / Vitamins,Respiratory,1
Cough/Flulike,Respiratory,1
Cough/sneeze,Respiratory,1
Coughing & Coughing,Respiratory,1
cramp,Other,1
Cravings,Other,1
CREMIL S,Other,1
Cut,Wound/Injury,1
Cut Injury,Wound/Injury,1
Daily use,Other,1
Dequatrin,Other,1
Diabetes Mellitus,Other,1
DIARHEA,Other,1
Diarrhea,Gastrointestinal,1
DICYCLOVERINE,Other,1
DISINFECTANT,Other,1
Disinfectant / Supply,Supply/Medicine Issuance,1
DRESSING,Wound/Injury,1
Dry eyes,Other,1
Dysmenorrhea,Dysmenorrhea,1
Dysmenorrhea / Dyspepsia,Gastrointestinal,1
Dyspepsia,Gastrointestinal,1
Eye Irritation,Eye/Ear Concern,1
Face mask & Alcohol,Supply/Medicine Issuance,1
Facemask,Supply/Medicine Issuance,1
FBS,Other,1
Fever,Fever,1
First Aid,Other,1
FIRST-AID,Other,1
Flack Pain,Body Pain,1
FLU,Respiratory,1
Form,Other,1
G.O.D.,Other,1
G.S.S.O,Other,1
Gastritis/Gas,Other,1
Gloves,Supply/Medicine Issuance,1
GLOVES,Supply/Medicine Issuance,1
H&W,Other,1
Headach,Other,1
headache (tension) / headache,Headache,1
Headadu,Other,1
Height & Weight,Physical Assessment,1
Hills / Knee,Other,1
HNBB,Other,1
HOT COMPRESS,Other,1
HYOSINE,Other,1
Hyperacidity,Gastrointestinal,1
IBM,Other,1
Illness (Under Observation),Other,1
Infection,Other,1
Inject medicine,Supply/Medicine Issuance,1
Irritated eyes,Other,1
Kalintura,Other,1
Knee fracture,Other,1
Kwari,Other,1
Laboratory,Laboratory,1
LETIRIZEN,Other,1
Lock Jaw,Other,1
Loperamid,Other,1
Loperamide / Tylenol / Mefenamic,Other,1
LOW,Other,1
Lysovit,Other,1
ME7,Other,1
Med - cert,Supply/Medicine Issuance,1
Med - Cert,Supply/Medicine Issuance,1
Med-Cert.,Medical Certificate,1
MED.,Supply/Medicine Issuance,1
MED. CERT.,Supply/Medicine Issuance,1
Med. Cert.,Supply/Medicine Issuance,1
MEDCERT,Other,1
MEDICAL KIT,Other,1
Medical Purposive,Other,1
Medican,Other,1
Medicine/Gloves,Supply/Medicine Issuance,1
Melizine,Other,1
Menses,Other,1
Menstruation Cramps,Dysmenorrhea,1
MINOR INJURY,Wound/Injury,1
Minor Scrape,Other,1
MINSTRATION,Other,1
Muscle Soreness,Other,1
n-IP,Other,1
N/A med,Supply/Medicine Issuance,1
NA,Unknown,1
NASUEA,Other,1
NAUSEA,Gastrointestinal,1
NAUSEOUS,Other,1
Ngipin,Other,1
Non-IP,Other,1
NOOSE BLEED,Wound/Injury,1
Norgesic Forte,Other,1
NOT FEELING WELL,Other,1
NOT FELLING WELL,Other,1
NP,Other,1
OF COLDS,Respiratory,1
Offcold,Respiratory,1
Office,Other,1
OJT,Enrollment/Requirement,1
Pain belly,Body Pain,1
Pain cramps,Body Pain,1
Pain/Inflammation,Body Pain,1
Palpitations,Other,1
Period,Other,1
Period Cramps,Other,1
Pick-up,Other,1
Pneumonia,Other,1
Pos b.f.,Other,1
PRODUCTIVE,Other,1
Red eyes,Other,1
Redness of eyes,Other,1
Ringworm,Other,1
Running nose,Other,1
Sakit sa hil,Other,1
Sakit ulo,Other,1
Scrape,Other,1
Serve Food,Other,1
SICK,Other,1
Sick,Other,1
Sinus,Respiratory,1
Sip-on (Colds),Respiratory,1
Sip-on/ubo,Other,1
SIPON,Other,1
Sipon,Other,1
Sleeping Problems,Other,1
SNEEZE,Other,1
SOLMUX,Other,1
Stomachache / Abdominal Pain,Body Pain,1
STRAIN,Other,1
SUGAR LEVEL,Other,1
Sugar/Under Result,Other,1
Supplementation,Other,1
Supply (Guard House),Supply/Medicine Issuance,1
Support for sick medicine,Supply/Medicine Issuance,1
Swollen Eyes,Other,1
Swollen Eyes / Swollen,Other,1
Swollen foot,Other,1
Swollen Right Foot,Other,1
Swollen Thumb,Other,1
Syringe 3cc,Other,1
Therapy,Other,1
Throat Soreness,Other,1
Tired,Other,1
Tissue,Other,1
Toe,Other,1
Tongue Injury,Wound/Injury,1
Tonsilitis,Other,1
TRASHBAG,Other,1
tutunlan,Other,1
ubo,Other,1
ubo-sakit tilaoc,Other,1
Upper Res. Infection / Colds,Respiratory,1
V/D,Other,1
Vehicular Accident,Other,1
vit,Other,1
VOMITING,Gastrointestinal,1
VP,Other,1
Weight,Physical Assessment,1
WIEGHT,Other,1
Wound,Wound/Injury,1
Wound/Headache,Headache,1
ZILCAM,Other,1
ZILGAM/HYOSINE,Other,1
[redacted non-complaint text],Unknown,1
